"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"C-4450.8601A","ECI1.A-TC22.F_CV","08/05/2021","74.77349"
"C-4450.8601A","ECI1.A-TC22.F_CV","09/05/2021","75.65991"
"C-4450.8601A","ECI1.A-TC22.F_CV","10/05/2021","77.33178"
"C-4450.8601A","ECI1.A-TC22.F_CV","11/05/2021","81.18635"
"C-4450.8601A","ECI1.A-TC22.F_CV","12/05/2021","78.16968"
"C-4450.8601A","ECI1.A-TC22.F_CV","13/05/2021","78.43674"
"C-4450.8601A","ECI1.A-TC22.F_CV","14/05/2021","78.65715"
"C-4450.8601A","ECI1.A-TC22.F_CV","15/05/2021","76.58674"
"C-4450.8601A","ECI1.A-TC22.F_CV","16/05/2021","75.56279"
"C-4450.8601A","ECI1.A-TC22.F_CV","18/05/2021","76.16354"
"C-4450.8601A","ECI1.A-TC22.F_CV","19/05/2021","81.4387"
"C-4450.8601A","ECI1.A-TC22.F_CV","20/05/2021","78.24859"
"C-4450.8601A","ECI1.A-TC22.F_CV","21/05/2021","78.89627"
"C-4450.8601A","ECI1.A-TC22.F_CV","22/05/2021","75.94236"
"C-4450.8601A","ECI1.A-TC22.F_CV","23/05/2021","73.02253"
"C-4450.8601A","ECI1.A-TC22.F_CV","24/05/2021","82.39141"
"C-4450.8601A","ECI1.A-TC22.F_CV","25/05/2021","81.4348"
"C-4450.8601A","ECI1.A-TC22.F_CV","26/05/2021","81.01021"
"C-4450.8601A","ECI1.A-TC22.F_CV","27/05/2021","78.79744"
"C-4450.8601A","ECI1.A-TC22.F_CV","28/05/2021","79.59683"
"C-4450.8601A","ECI1.A-TC22.F_CV","29/05/2021","81.11786"
"C-4450.8601A","ECI1.A-TC22.F_CV","30/05/2021","81.58267"
"C-4450.8601A","ECI1.A-TC22.F_CV","31/05/2021","82.24124"
"C-4450.8601A","ECI1.A-TC22.F_CV","01/06/2021","76.96509"
"C-4450.8601A","ECI1.A-TC22.F_CV","02/06/2021","79.15383"
"C-4450.8601A","ECI1.A-TC22.F_CV","04/06/2021","34.24518"
"C-4450.8601A","ECI1.A-TC22.F_CV","05/06/2021","75.09037"
"C-4450.8601A","ECI1.A-TC22.F_CV","06/06/2021","83.86667"
"C-4450.8601A","ECI1.A-TC22.F_CV","07/06/2021","80.83786"
"C-4450.8601A","ECI1.A-TC22.F_CV","08/06/2021","81.3486"
"C-4450.8601A","ECI1.A-TC22.F_CV","09/06/2021","81.74846"
"C-4450.8601A","ECI1.A-TC22.F_CV","10/06/2021","82.95255"
"C-4450.8601A","ECI1.A-TC22.F_CV","11/06/2021","83.37133"
"C-4450.8601A","ECI1.A-TC22.F_CV","12/06/2021","82.95349"
"C-4450.8601A","ECI1.A-TC22.F_CV","13/06/2021","82.67601"
"C-4450.8601A","ECI1.A-TC22.F_CV","14/06/2021","82.4791"
"C-4450.8601A","ECI1.A-TC22.F_CV","15/06/2021","81.13785"
"C-4450.8601A","ECI1.A-TC22.F_CV","16/06/2021","82.38986"
"C-4450.8601A","ECI1.A-TC22.F_CV","17/06/2021","82.66727"
"C-4450.8601A","ECI1.A-TC22.F_CV","18/06/2021","83.0115"
"C-4450.8601A","ECI1.A-TC22.F_CV","19/06/2021","80.81961"
"C-4450.8601A","ECI1.A-TC22.F_CV","20/06/2021","79.69829"
"C-4450.8601A","ECI1.A-TC22.F_CV","21/06/2021","79.99393"
"C-4450.8601A","ECI1.A-TC22.F_CV","22/06/2021","79.14213"
"C-4450.8601A","ECI1.A-TC22.F_CV","23/06/2021","78.16252"
"C-4450.8601A","ECI1.A-TC22.F_CV","24/06/2021","77.82933"
"C-4450.8601A","ECI1.A-TC22.F_CV","25/06/2021","76.67833"
"C-4450.8601A","ECI1.A-TC22.F_CV","26/06/2021","76.41625"
"C-4450.8601A","ECI1.A-TC22.F_CV","27/06/2021","76.18318"
"C-4450.8601A","ECI1.A-TC23.F_CV","04/01/2021","82.14417"
"C-4450.8601A","ECI1.A-TC23.F_CV","05/01/2021","83.36502"
"C-4450.8601A","ECI1.A-TC23.F_CV","06/01/2021","83.22716"
"C-4450.8601A","ECI1.A-TC23.F_CV","08/01/2021","42.51982"
"C-4450.8601A","ECI1.A-TC23.F_CV","31/01/2021","80.00177"
"C-4450.8601A","ECI1.A-TC23.F_CV","01/02/2021","79.83316"
"C-4450.8601A","ECI1.A-TC23.F_CV","02/02/2021","79.97285"
"C-4450.8601A","ECI1.A-TC23.F_CV","03/02/2021","80.4339"
"C-4450.8601A","ECI1.A-TC23.F_CV","04/02/2021","83.32007"
"C-4450.8601A","ECI1.A-TC23.F_CV","05/02/2021","82.8736"
"C-4450.8601A","ECI1.A-TC23.F_CV","06/02/2021","82.21721"
"C-4450.8601A","ECI1.A-TC23.F_CV","07/02/2021","80.40257"
"C-4450.8601A","ECI1.A-TC23.F_CV","08/02/2021","81.31895"
"C-4450.8601A","ECI1.A-TC23.F_CV","09/02/2021","79.7937"
"C-4450.8601A","ECI1.A-TC23.F_CV","10/02/2021","81.1068"
"C-4450.8601A","ECI1.A-TC23.F_CV","11/02/2021","81.69132"
"C-4450.8601A","ECI1.A-TC23.F_CV","12/02/2021","83.05296"
"C-4450.8601A","ECI1.A-TC23.F_CV","13/02/2021","81.89159"
"C-4450.8601A","ECI1.A-TC23.F_CV","14/02/2021","80.97398"
"C-4450.8601A","ECI1.A-TC23.F_CV","15/02/2021","80.94656"
"C-4450.8601A","ECI1.A-TC23.F_CV","16/02/2021","80.20842"
"C-4450.8601A","ECI1.A-TC23.F_CV","17/02/2021","80.82846"
"C-4450.8601A","ECI1.A-TC23.F_CV","18/02/2021","81.48174"
"C-4450.8601A","ECI1.A-TC23.F_CV","19/02/2021","81.50076"
"C-4450.8601A","ECI1.A-TC23.F_CV","20/02/2021","83.08317"
"C-4450.8601A","ECI1.A-TC23.F_CV","21/02/2021","83.55536"
"C-4450.8601A","ECI1.A-TC23.F_CV","22/02/2021","81.05768"
"C-4450.8601A","ECI1.A-TC23.F_CV","23/02/2021","81.93893"
"C-4450.8601A","ECI1.A-TC23.F_CV","26/02/2021","80.34347"
"C-4450.8601A","ECI1.A-TC23.F_CV","27/02/2021","80.12024"
"C-4450.8601A","ECI1.A-TC23.F_CV","28/02/2021","79.96114"
"C-4450.8601A","ECI1.A-TC23.F_CV","01/03/2021","82.27939"
"C-4450.8601A","ECI1.A-TC23.F_CV","02/03/2021","81.8902"
"C-4450.8601A","ECI1.A-TC23.F_CV","03/03/2021","80.92497"
"C-4450.8601A","ECI1.A-TC23.F_CV","04/03/2021","82.41782"
