EQUIPAMENTO,MANCAL,WINDOW,OUTPUT,NUM. CAMADAS,NUM. NEURONIOS CAMADA 1,NUM. NEURONIOS CAMADA 2,NUM. NEURONIOS CAMADA 3,DROUPOUT,OTIMIZADOR,EPOCHS,BATCH_SIZE,RMSE,MSE,MAPE
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,120,60,40,0.200000,Adam,800,32,1.278004,1.633294,1.395183
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,120,60,40,0.200000,Adadelta,800,32,2.815825,7.928869,3.333740
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,120,60,40,0.250000,Adam,800,32,1.401449,1.964059,1.724254
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,120,60,40,0.250000,Adadelta,800,32,2.887992,8.340495,3.442564
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,120,60,40,0.300000,Adam,800,32,1.639892,2.689245,2.008322
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,120,60,40,0.300000,Adadelta,800,32,2.934397,8.610684,3.512795
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,120,60,40,0.350000,Adam,800,32,1.670635,2.791022,2.040320
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,120,60,40,0.350000,Adadelta,800,32,2.887741,8.339047,3.442170
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,80,80,60,0.200000,Adam,800,32,1.894013,3.587286,2.263683
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,80,80,60,0.200000,Adadelta,800,32,3.122832,9.752080,3.790593
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,80,80,60,0.250000,Adam,800,32,1.797355,3.230485,2.153728
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,80,80,60,0.250000,Adadelta,800,32,2.802806,7.855724,3.314262
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,80,80,60,0.300000,Adam,800,32,1.590207,2.528758,1.953061
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,80,80,60,0.300000,Adadelta,800,32,2.970712,8.825132,3.566719
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,80,80,60,0.350000,Adam,800,32,1.822322,3.320858,2.191397
C-4451.08001A,EJA1.A-TC23.F_CV,3,3,3,80,80,60,0.350000,Adadelta,800,32,2.825575,7.983875,3.348827
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,150,80,80,0.200000,Adam,800,32,2.543028,6.466991,2.959203
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,150,80,80,0.200000,Adadelta,800,32,2.663614,7.094837,3.115891
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,150,80,80,0.250000,Adam,800,32,2.348647,5.516142,2.716516
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,150,80,80,0.250000,Adadelta,800,32,2.665349,7.104088,3.117286
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,150,80,80,0.300000,Adam,800,32,2.507107,6.285584,2.908607
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,150,80,80,0.300000,Adadelta,800,32,2.588595,6.700823,3.020794
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,150,80,80,0.350000,Adam,800,32,2.677310,7.167988,3.149208
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,150,80,80,0.350000,Adadelta,800,32,2.658555,7.067917,3.109179
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,120,60,40,0.200000,Adam,800,32,2.425191,5.881550,2.806115
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,120,60,40,0.200000,Adadelta,800,32,2.715680,7.374915,3.187285
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,120,60,40,0.250000,Adam,800,32,2.617438,6.850980,3.056248
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,120,60,40,0.250000,Adadelta,800,32,2.757945,7.606259,3.249780
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,120,60,40,0.300000,Adam,800,32,2.600724,6.763767,3.030144
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,120,60,40,0.300000,Adadelta,800,32,2.746206,7.541648,3.239219
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,120,60,40,0.350000,Adam,800,32,2.575725,6.634361,2.988198
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,120,60,40,0.350000,Adadelta,800,32,2.763262,7.635615,3.262386
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,80,80,60,0.200000,Adam,800,32,2.587528,6.695301,3.007847
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,80,80,60,0.200000,Adadelta,800,32,2.796220,7.818845,3.300680
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,80,80,60,0.250000,Adam,800,32,2.524122,6.371192,2.920384
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,80,80,60,0.250000,Adadelta,800,32,2.916384,8.505297,3.494388
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,80,80,60,0.300000,Adam,800,32,2.478818,6.144539,2.871935
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,80,80,60,0.300000,Adadelta,800,32,2.859707,8.177926,3.412832
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,80,80,60,0.350000,Adam,800,32,2.506418,6.282132,2.900353
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,1,80,80,60,0.350000,Adadelta,800,32,2.879707,8.292714,3.431186
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,150,80,80,0.200000,Adam,800,32,1.976680,3.907262,2.036310
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,150,80,80,0.200000,Adadelta,800,32,2.632593,6.930543,3.069249
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,150,80,80,0.250000,Adam,800,32,1.782349,3.176767,1.826664
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,150,80,80,0.250000,Adadelta,800,32,2.711316,7.351237,3.177417
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,150,80,80,0.300000,Adam,800,32,1.502592,2.257782,1.862590
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,150,80,80,0.300000,Adadelta,800,32,2.618552,6.856814,3.062143
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,150,80,80,0.350000,Adam,800,32,1.462052,2.137597,1.531706
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,150,80,80,0.350000,Adadelta,800,32,2.565725,6.582942,2.986480
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,120,60,40,0.200000,Adam,800,32,2.037841,4.152796,2.384483
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,120,60,40,0.200000,Adadelta,800,32,2.491958,6.209857,2.892077
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,120,60,40,0.250000,Adam,800,32,2.083813,4.342275,2.438690
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,120,60,40,0.250000,Adadelta,800,32,2.561514,6.561353,2.984096
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,120,60,40,0.300000,Adam,800,32,1.549150,2.399866,1.917817
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,120,60,40,0.300000,Adadelta,800,32,2.599048,6.755050,3.022355
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,120,60,40,0.350000,Adam,800,32,2.182800,4.764614,2.542523
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,120,60,40,0.350000,Adadelta,800,32,2.658438,7.067291,3.104064
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,80,80,60,0.200000,Adam,800,32,2.109150,4.448513,2.459545
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,80,80,60,0.200000,Adadelta,800,32,2.664563,7.099895,3.112076
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,80,80,60,0.250000,Adam,800,32,1.807115,3.265666,2.156266
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,80,80,60,0.250000,Adadelta,800,32,2.714304,7.367444,3.183171
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,80,80,60,0.300000,Adam,800,32,2.423556,5.873622,2.802218
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,80,80,60,0.300000,Adadelta,800,32,2.730924,7.457946,3.209822
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,80,80,60,0.350000,Adam,800,32,2.195172,4.818781,2.546327
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,2,80,80,60,0.350000,Adadelta,800,32,2.712733,7.358922,3.182402
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,3,150,80,80,0.200000,Adam,800,32,1.284796,1.650701,1.367817
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,3,150,80,80,0.200000,Adadelta,800,32,2.604583,6.783854,3.042073
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,3,150,80,80,0.250000,Adam,800,32,1.412104,1.994037,1.403652
C-4451.08001A,EJA1.A-TC23.F_CV,4,2,3,150,80,80,0.250000,Adadelta,800,32,2.580892,6.661005,3.015425
