EQUIPAMENTO,MANCAL,WINDOW,OUTPUT,NUM. CAMADAS,NUM. NEURONIOS CAMADA 1,NUM. NEURONIOS CAMADA 2,NUM. NEURONIOS CAMADA 3,DROUPOUT,OTIMIZADOR,EPOCHS,BATCH_SIZE,RMSE,MSE,MAPE
C-4451.08001A,EJA1.A-TC26.F_CV,3,3,3,80,80,60,0.350000,Adadelta,800,32,11.712587,137.184700,32.068128
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,150,80,80,0.200000,Adam,800,32,36.655949,1343.658597,122.800808
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,150,80,80,0.200000,Adadelta,800,32,5.973688,35.684948,15.032223
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,150,80,80,0.250000,Adam,800,32,35.261597,1243.380219,118.148386
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,150,80,80,0.250000,Adadelta,800,32,5.071923,25.724407,15.236709
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,150,80,80,0.300000,Adam,800,32,35.247116,1242.359216,118.103102
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,150,80,80,0.300000,Adadelta,800,32,5.171589,26.745330,14.780755
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,150,80,80,0.350000,Adam,800,32,36.280641,1316.284882,121.550544
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,150,80,80,0.350000,Adadelta,800,32,5.452182,29.726289,14.418190
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,120,60,40,0.200000,Adam,800,32,36.612846,1340.500509,122.655219
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,120,60,40,0.200000,Adadelta,800,32,10.796122,116.556245,29.221683
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,120,60,40,0.250000,Adam,800,32,36.297058,1317.476454,121.598884
C-4451.08001A,EJA1.A-TC26.F_CV,4,2,1,120,60,40,0.250000,Adadelta,800,32,5.787274,33.492540,15.147291
